,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6579,04/24/2020,TN,8742,8742.0,0.0,461,-15.0,168,168.0,0.0,-2,0.0,05/25/2020 03:38:40 PM,Agree,Agree
6580,09/23/2020,MN,92100,,,0,0.0,2037,1985.0,52.0,0,0.0,09/24/2020 01:54:02 PM,,Agree
6581,08/18/2020,CA,632667,,,4636,0.0,11342,,,100,0.0,08/19/2020 02:23:51 PM,Not agree,Not agree
6582,09/12/2020,OH,136568,129453.0,7115.0,1242,86.0,4411,4118.0,293.0,8,0.0,09/13/2020 04:17:15 PM,Agree,Agree
6583,04/16/2020,PA,27735,27545.0,190.0,1245,190.0,707,,,60,6.0,04/16/2020 04:22:39 PM,Agree,Not agree
6584,03/20/2020,CO,363,,,86,,4,,,2,,03/26/2020 04:22:39 PM,Agree,Agree
6585,04/10/2020,NY,78128,,,5218,,2024,,,237,,04/09/2020 04:22:39 PM,Not agree,Not agree
6586,02/14/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Agree
6587,04/02/2020,MD,2331,,,346,,36,,,5,,04/01/2020 04:22:39 PM,,Agree
6588,10/11/2020,WV,18128,17519.0,609.0,215,6.0,382,,,1,0.0,10/12/2020 02:07:08 PM,Agree,Not agree
6589,10/23/2020,ID,57673,50902.0,6771.0,1073,152.0,562,518.0,44.0,9,0.0,10/24/2020 01:26:44 PM,Agree,Agree
6590,04/20/2020,MD,14193,,,509,0.0,652,584.0,68.0,70,2.0,04/20/2020 04:22:39 PM,,Agree
6591,05/31/2020,CA,110583,,,3705,0.0,4213,,,57,0.0,06/01/2020 02:17:42 PM,Not agree,Not agree
6592,05/11/2020,NYC,184319,184319.0,0.0,657,0.0,20237,15101.0,5136.0,181,8.0,05/12/2020 05:26:08 PM,Agree,Agree
6593,08/16/2020,PR,26760,11723.0,15037.0,754,282.0,335,206.0,129.0,0,-1.0,08/17/2020 02:26:31 PM,Agree,Agree
6594,02/22/2020,VA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6595,11/24/2020,LA,224403,,,3243,1123.0,6323,6072.0,251.0,39,6.0,11/25/2020 02:53:15 PM,Not agree,Agree
6596,08/30/2020,NY,200131,,,417,0.0,8951,,,6,0.0,08/31/2020 02:05:56 PM,Not agree,Not agree
6597,10/17/2020,OK,111624,98120.0,13504.0,0,0.0,1161,1140.0,21.0,0,0.0,10/18/2020 01:26:54 PM,Agree,Agree
6598,09/11/2020,FL,650922,,,3604,390.0,12502,,,176,4.0,09/12/2020 02:12:43 PM,Not agree,Not agree
6599,07/23/2020,NY,186865,,,423,0.0,8807,,,7,0.0,07/24/2020 02:18:40 PM,Not agree,Not agree
6600,10/18/2020,AL,172626,151527.0,21099.0,964,133.0,2788,2620.0,168.0,0,0.0,10/19/2020 02:06:44 PM,Agree,Agree
6601,02/04/2020,MS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6602,10/17/2020,KY,86797,73915.0,12882.0,1291,300.0,1312,1298.0,14.0,12,0.0,10/18/2020 01:26:54 PM,Agree,Agree
6603,03/25/2020,WI,585,,,128,,6,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
6604,10/23/2020,GA,372888,346543.0,26345.0,2841,608.0,7766,7766.0,0.0,37,0.0,10/24/2020 09:26:44 AM,Agree,Agree
6605,11/04/2020,NV,104093,,,1068,0.0,1814,,,7,0.0,11/05/2020 02:39:23 PM,,
6606,02/23/2020,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6607,01/07/2021,IL,1008045,1008045.0,0.0,8757,0.0,18941,17272.0,1669.0,206,30.0,01/08/2021 03:56:01 PM,Agree,Agree
6608,12/16/2020,PR,64751,61783.0,2968.0,1065,74.0,1323,1086.0,237.0,11,2.0,12/17/2020 02:33:42 PM,Agree,Agree
6609,01/28/2020,AL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6610,04/13/2020,MA,26867,,,1392,,844,,,88,,04/12/2020 04:22:39 PM,Agree,Agree
6611,05/20/2020,NYC,197611,192840.0,4771.0,456,-10.0,21003,16232.0,4771.0,69,-10.0,05/21/2020 03:41:38 PM,Agree,Agree
